AgeDays,L,M,S
0,1,34.4618,0.03686
7,1,35.1634,0.03472
14,1,35.8649,0.03258
21,1,36.5216,0.03197
28,1,37.0926,0.03148
35,1,37.601,0.03107
42,1,38.0609,0.03072
49,1,38.4824,0.03041
56,1,38.8724,0.03014
63,1,39.2368,0.0299
70,1,39.5797,0.02969
77,1,39.9033,0.0295
84,1,40.2096,0.02933
91,1,40.5008,0.02918
122,1,41.6317,0.02868
152,1,42.5576,0.02837
183,1,43.3306,0.02817
213,1,43.9803,0.02804
244,1,44.53,0.02796
274,1,44.9998,0.02792
304,1,45.4051,0.0279
335,1,45.7573,0.02789
365,1,46.0661,0.02789
396,1,46.3395,0.02789
426,1,46.5844,0.02791
457,1,46.806,0.02792
487,1,47.0088,0.02795
517,1,47.1962,0.02797
548,1,47.3711,0.028
578,1,47.5357,0.02803
609,1,47.6919,0.02806
639,1,47.8408,0.0281
670,1,47.9833,0.02813
700,1,48.1201,0.02817
730,1,48.2515,0.02821
761,1,48.3777,0.02825
791,1,48.4989,0.0283
822,1,48.6151,0.02834
852,1,48.7264,0.02838
883,1,48.8331,0.02842
913,1,48.9351,0.02847
944,1,49.0327,0.02851
974,1,49.126,0.02855
1004,1,49.2153,0.02859
1035,1,49.3007,0.02863
1065,1,49.3826,0.02867
1096,1,49.4612,0.02871
1126,1,49.5367,0.02875
1157,1,49.6093,0.02878
1187,1,49.6791,0.02882
1218,1,49.7465,0.02886
1248,1,49.8116,0.02889
1278,1,49.8745,0.02893
1309,1,49.9354,0.02896
1339,1,49.9942,0.02899
1370,1,50.0512,0.02903
1400,1,50.1064,0.02906
1431,1,50.1598,0.02909
1461,1,50.2115,0.02912
1491,1,50.2617,0.02915
1522,1,50.3105,0.02918
1552,1,50.3578,0.02921
1583,1,50.4039,0.02924
1613,1,50.4488,0.02927
1644,1,50.4926,0.02929
1674,1,50.5354,0.02932
1704,1,50.5772,0.02935
1735,1,50.6183,0.02938
1765,1,50.6587,0.0294
1796,1,50.6984,0.02943
1826,1,50.7375,0.02946
